店铺id,用户名称,评论,星级,时间
179338750,安娜dona,挺好的，味道也不错！,40,1.55E+12
179338750,匿名用户,上火喝啥都那样呐，奇奇怪怪味道,20,1.55E+12
179338750,匿名用户,不好喝 也没有什么答案乱七八糟的 很不值,10,1.55E+12
179338750,ONE44917,可能是因为团购的原因，样式很新颖，但是口味很一般,20,1.55E+12
179338750,XZu857447246,店内人比较人。饮料不是那么很好喝。店员很赞。没有问题的话还可以打印图片。这个价格很不错了。,30,1.54E+12
179338750,ZPm543243841,挺好的，水果很多。因为找不到路店家还送了蛋糕给我们,40,1.54E+12
179338750,joice9330,不推荐，味道一般，价格还不如去都可,20,1.54E+12
179338750,aimy1990,还行吧，就是杯子太小了。水果还挺多的。,30,1.54E+12
179718861,xbcaroline,这家店就在公司附近，但是一直没有帮衬过。 同事喜欢喝“一点点”，在我的强烈建议下决定试一下这家。 说实话一般，味道比较淡，但没有“一点点”那么甜，还是比较好入口的；就是奶味和茶味都不出众，没有特色。 老板娘还是挺热情的。,20,1.54E+12
179718861,莯渼,老板这是什么字呀能跟我说一下吗？,30,1.54E+12
174876517,AZmmmm,跟男朋友一起去看电影，路过二楼，看到有家奶茶店就过来了，我们买了一杯占卜茶，买了一杯果茶，喝了以后感觉味道都不错，果茶味道较淡，另外一杯很甜，店里的小姐姐态度炒鸡好，超级温柔。喜欢�下次再来看电影还来你家买奶茶呦！,40,1.55E+12
174876517,_qqn2c1440202494,不错，挺好喝的。有特色！。。。,40,1.55E+12
174876517,AZmmmm,小姐姐态度服务很好，奶茶很甜 #占卜茶#,40,1.55E+12
174876517,魔系小少女,适合逛街小憩，扶梯旁。只是这个商场信号不这么好啊,40,1.55E+12
174876517,QtV114658918,还行吧，喝的过去！！！！！！！,20,1.54E+12
180062782,蔷薇小饼干,好可爱的创意奶茶,40,1.54E+12
180559469,OEm389317980,太甜，豆不够弹。我也忘了说甜度。。也是我的问题,30,1.54E+12
178845029,雨若曦晨,首先服务态度特别的好，是两个美女小姐姐，特别的可爱店里的布置也很小清新，而且里面还有很多的n次贴，有很多口味可以选择，冬天选了茶饮比较热一些，点了乌龙白桃茶。茶味不是很浓，淡淡的味道。还点了这里的满杯橙柚，还有满杯红柚。应该是大杯的满满的。果味很浓。,40,1.54E+12
178845029,安，丸子,位于茂业二期对面(大鹏烧烤旁)——答案茶。 就在茂业二期旁边巷子里永康街~  自从答案茶在抖音快手上火了以后，遍地都是抖音的分店。这不是新开了一家分店，我又来探店咯~  去了店里小姐姐很愉快的验证了团购的果茶，我要的是满杯橙子� 就几片橙子，感觉一般般吧。要加冰~小姐姐给加了超多冰，手动笔芯到回家竟然还有冰块哈哈哈哈哈哈,40,1.54E+12
178845029,gyj447603002,味道很好哦，还很热,40,1.55E+12
178845029,学土拨鼠叫,总体来说还是不错的，位置也比较好找，服务相当的不错，很舒服，环境很棒，好几种果茶可以选，口味还不错，不过说实在的原价购买就有些不值，没发现和其他店相比较下有亮点，冲着网红来讲这个口味还是不错的，有空再去,40,1.53E+12
178845029,匿名用户,不好喝    卫生也不好  价格有点贵   不满意,20,1.54E+12
178845029,COW731572972,味道寡，不正，珍珠不好吃 一点也不好喝,10,1.54E+12
178845029,随便起一个昵称吧,点的四季春……就是一杯柠檬水，慕名而去的答案感觉还是有些失望,30,1.54E+12
178845029,WL13834622607,不错、、、、、、加5元闹奶盖的合适,30,1.54E+12
178845029,随便起一个昵称吧,奶盖还可以，搅开可能更好喝一些，买的白桃乌龙,30,1.54E+12
178845029,Kmj264998168,还可以,40,1.54E+12
178845029,匿名用户,等候的速度慢慢慢！两杯奶茶等30分钟……味道一般,20,1.54E+12
178845029,家家物,有橙子果粒�，冰冰爽爽，很好喝,40,1.53E+12
169037619,匿名用户,第一次买，味道还不错，服务也很好,40,1.55E+12
169037619,蓝浅沫1,服务态度一般般，饮品还不错。。。,30,1.55E+12
169037619,chwl吃喝玩乐！,超级难喝，果然没点真材实料的东西卖的都是嘘头,20,1.54E+12
169037619,格格King,不是很好喝，个人口感。不信你试试。,20,1.54E+12
169037619,小小清纯.,没有想要的答案，噱头而已，瞎印的，我还以为会给每个人写，味道还可以吧,30,1.54E+12
169037619,pqj356480136,好喝,40,1.54E+12
169037619,Sakura.247,第一次喝答案茶 挺新颖的 有一层很厚的奶盖 所以喝到后面会有点腻,40,1.53E+12
169037619,shiningbabyci,味道很棒啊 小哥哥们很贴心 nice,40,1.53E+12
169037619,hOW330168277,味道是不错的，跟个风去了，就是座位太少了,40,1.53E+12
169037619,UVq827550615,第二次喝，每一次的结果都很满意，啦啦啦。希望每个人都能得到自己想要的结果。,40,1.53E+12
169037619,kathychen66,味道还不错，只是感觉答案不走心,30,1.53E+12
169037619,xVi968137045,环境很好，服务很周到      ������,40,1.53E+12
169037619,是常,味道很好 不是那种香精味道 冰霜融化更好喝啦啦啦,40,1.53E+12
169037619,apk724491461,好喝 第一次来 还会再来,40,1.53E+12
175145979,滑铁卢Lt,不太喜欢这种，感觉不太好，而且也不好喝,20,1.54E+12
175145979,uMl401468568,可能是刚开的原因，服务员比较忙乱，客人很多，制作速度有点慢。,30,1.53E+12
175145979,小輕哖,东西还是比较不能的，口味很独特,40,1.53E+12
175145979,动态穿梭,所谓的问题答案，所答非所问，就失去答案的意义了,30,1.53E+12
175145979,ZiV734508814,西米露的味道，很好喝的，态度也超级好,40,1.53E+12
175145979,XpB707715068,东西看着不错，就是味道一般。可能是我不习惯吧,20,1.53E+12
174946274,SVD326827962,还好，就是价位有点高！茶味道不错大众知名度不高。,30,1.55E+12
174946274,KEG429435427,奶茶不错，比较优惠，珍珠有弹性,40,1.55E+12
174946274,楽檩,就是椰果吃上去有点酸酸的感觉。,30,1.54E+12
174946274,mj18621819752,其他的一般般吧，蓝色独角兽�️挺好喝的，小朋友喜欢！ #蓝色独角兽#,30,1.54E+12
174946274,Only_Meet,买了好几次了，还不错吧，反正喜欢喝,30,1.54E+12
174946274,Wxn827905964,速度还好 就是环境不咋滴 太乱了了,20,1.53E+12
179184187,eyq421314912,杯子的口都是碎的 我一边喝它一边漏,20,1.53E+12
177845997,包子怀念,味道一般般，好像是我喝过的最难喝的奶茶,10,1.53E+12
176023072,azM418821521,动作超慢，做出来的东西超难吃。,20,1.53E+12
175385092,匿名用户,太甜太甜了，实在是受不了的甜，要了半糖还是甜到奔溃,20,1.53E+12
174931132,章鱼帝户,吃完猪肚鸡之后才过去的。位置还是很好找 就在gogo的旁边。人挺多的。店内的装饰也是很棒棒的哦。选的这个味道还是很不错。芝士应该就是说的。味道是很棒棒的哦。而且还是很大杯。两个人喝一杯刚刚刚好啊。很喜欢。下次来,40,1.55E+12
174931132,Lsf105676105,珍珠口感不错，奶茶一般，喝了晚上睡不着觉�,20,1.55E+12
174931132,匿名用户,红柚很清新，奶盖还ok，但个人认为奶盖有待加强,30,1.55E+12
174931132,匿名用户,棒棒棒！无可挑剔，小哥也很帅！,40,1.55E+12
174931132,嫣然53719,【口味】挺好喝的 【服务】也不错呀 很大一杯，喝完超级撑,40,1.55E+12
174931132,qCh645321768,在美团上买，挺便宜的，而且很好喝，也是大杯的，经常喝,40,1.55E+12
174931132,再世为人Y,味道挺不错的啊，还是个大杯，喝完都饱了，而且特别的好喝 #黑糖脏脏茶奶#,40,1.55E+12
174931132,Fun的呀,gogo新天地西街那里，在一排食铺的对面，比较好找，感觉西街人越来越多了 茉莉小可爱，上一次喝觉得很好喝，一直念念不忘，然后又来了，可能期待有点大了�� 团购还是比较优惠的，最近感觉评价都不认真了�� 还是值得一试的哈,30,1.54E+12
